Label: Tib-Ant Sampling frequency: 1.000000e+003 Number of points: 23000 X start: 0.000000e+000 Unit: V Domain Unit: s
Label: Gcn-Med Sampling frequency: 1.000000e+003 Number of points: 23000 X start: 0.000000e+000 Unit: V Domain Unit: s
Start Trigger Method: Manual
Stop Trigger Method: Auto
Use Camera: NO
Video File Path: prueba Tib-ant, Gcn-med[Rep1].avi
System Gain: 1.000000e+003
A/D card Gain: 1.000000e+000
Bit Resolution: 1.525879e-004
Bias: 0.000000e+000
High pass cutoff frequency: 2.000000e+001
Low pass cutoff frequency: 4.500000e+002
System Gain: 1.000000e+003
A/D card Gain: 1.000000e+000
Bit Resolution: 1.525879e-004
Bias: 0.000000e+000
High pass cutoff frequency: 2.000000e+001
Low pass cutoff frequency: 4.500000e+002
X [s],Tib-Ant [V],Gcn-Med [V]
2.650000e-001,-2.426147e-005,-3.204346e-006
2.660000e-001,-2.365112e-005,-3.051758e-007
2.670000e-001,-2.288818e-005,-7.629395e-007
2.680000e-001,-2.304077e-005,-3.662109e-006
2.690000e-001,-2.395630e-005,0.000000e+000
2.700000e-001,-2.258301e-005,-1.510620e-005
2.710000e-001,-2.532959e-005,-1.174927e-005
2.720000e-001,-2.532959e-005,1.434326e-005
2.730000e-001,-1.556396e-005,1.052856e-005
2.740000e-001,-8.850098e-006,-9.155273e-006
2.750000e-001,-5.950928e-006,-4.425049e-006
2.760000e-001,-4.119873e-006,1.022339e-005
2.770000e-001,-8.239746e-006,1.464844e-005
2.780000e-001,-9.307861e-006,2.105713e-005
2.790000e-001,-7.324219e-006,2.029419e-005
2.800000e-001,-7.171631e-006,1.724243e-005
2.810000e-001,-5.035400e-006,1.968384e-005
2.820000e-001,-7.171631e-006,1.632690e-005
2.830000e-001,-1.190186e-005,1.953125e-005
2.840000e-001,-1.586914e-005,1.953125e-005
2.850000e-001,-1.754761e-005,1.373291e-005
2.860000e-001,-1.724243e-005,9.307861e-006
2.870000e-001,-1.693726e-005,3.967285e-006
2.880000e-001,-1.846313e-005,1.220703e-006
2.890000e-001,-1.434326e-005,-3.051758e-007
