Label: EMG Ch1 Sampling frequency: 1.000000e+003 Number of points: 10000 X start: 0.000000e+000 Unit: V Domain Unit: s
Start Trigger Method: Manual
Stop Trigger Method: Manual
Use Camera: NO
Video File Path: Set1[Rep1].avi
System Gain: 1.000000e+003
A/D card Gain: 1.000000e+000
Bit Resolution: 1.525879e-004
Bias: 0.000000e+000
High pass cutoff frequency: 2.000000e+001
Low pass cutoff frequency: 4.500000e+002
X [s],EMG Ch1 [V]
2.500000e-001,4.241943e-005
2.510000e-001,4.119873e-005
2.520000e-001,4.394531e-005
2.530000e-001,4.943848e-005
2.540000e-001,4.501343e-005
2.550000e-001,4.241943e-005
2.560000e-001,4.516602e-005
2.570000e-001,4.714966e-005
2.580000e-001,4.653931e-005
2.590000e-001,4.684448e-005
2.600000e-001,4.440308e-005
2.610000e-001,4.455566e-005
2.620000e-001,4.592896e-005
2.630000e-001,4.425049e-005
2.640000e-001,4.516602e-005
2.650000e-001,4.486084e-005
2.660000e-001,4.165649e-005
2.670000e-001,4.241943e-005
2.680000e-001,4.028320e-005
2.690000e-001,3.936768e-005
2.700000e-001,4.165649e-005
2.710000e-001,4.241943e-005
2.720000e-001,4.547119e-005
2.730000e-001,4.470825e-005
2.740000e-001,4.898071e-005
2.750000e-001,4.516602e-005
2.760000e-001,4.379272e-005
2.770000e-001,4.623413e-005
2.780000e-001,4.608154e-005
2.790000e-001,4.562378e-005
2.800000e-001,4.425049e-005
2.810000e-001,4.592896e-005
2.820000e-001,4.440308e-005
2.830000e-001,4.119873e-005
2.840000e-001,4.058838e-005
2.850000e-001,4.119873e-005
2.860000e-001,4.516602e-005
2.870000e-001,4.531860e-005
2.880000e-001,4.135132e-005
2.890000e-001,4.501343e-005
2.900000e-001,4.287720e-005
2.910000e-001,4.104614e-005
2.920000e-001,3.387451e-005
2.930000e-001,3.662109e-005
2.940000e-001,3.692627e-005
2.950000e-001,4.165649e-005
2.960000e-001,4.776001e-005
2.970000e-001,4.959106e-005
2.980000e-001,4.882813e-005
2.990000e-001,4.989624e-005
3.000000e-001,5.233765e-005
3.010000e-001,5.325317e-005
3.020000e-001,4.989624e-005
3.030000e-001,4.730225e-005
3.040000e-001,4.333496e-005
3.050000e-001,4.104614e-005
3.060000e-001,3.860474e-005
3.070000e-001,3.829956e-005
3.080000e-001,4.119873e-005
3.090000e-001,4.165649e-005
3.100000e-001,4.531860e-005
3.110000e-001,4.165649e-005
3.120000e-001,4.226685e-005
3.130000e-001,4.287720e-005
3.140000e-001,4.196167e-005
3.150000e-001,4.440308e-005
3.160000e-001,4.379272e-005
3.170000e-001,4.425049e-005
3.180000e-001,4.699707e-005
3.190000e-001,4.562378e-005
3.200000e-001,4.577637e-005
3.210000e-001,4.592896e-005
3.220000e-001,4.867554e-005
3.230000e-001,4.638672e-005
3.240000e-001,4.653931e-005
3.250000e-001,4.455566e-005
3.260000e-001,4.455566e-005
3.270000e-001,3.875732e-005
3.280000e-001,3.799438e-005
3.290000e-001,4.089355e-005
3.300000e-001,4.089355e-005
3.310000e-001,4.364014e-005
3.320000e-001,4.272461e-005
3.330000e-001,4.379272e-005
3.340000e-001,4.714966e-005
3.350000e-001,4.318237e-005
3.360000e-001,4.379272e-005
3.370000e-001,4.241943e-005
3.380000e-001,4.486084e-005
3.390000e-001,4.287720e-005
3.400000e-001,4.379272e-005
3.410000e-001,4.699707e-005
3.420000e-001,4.257202e-005
3.430000e-001,4.455566e-005
3.440000e-001,4.226685e-005
3.450000e-001,4.486084e-005
3.460000e-001,4.562378e-005
3.470000e-001,4.257202e-005
3.480000e-001,4.394531e-005
3.490000e-001,4.013062e-005
3.500000e-001,4.058838e-005
3.510000e-001,3.646851e-005
3.520000e-001,3.479004e-005
3.530000e-001,3.784180e-005
3.540000e-001,4.043579e-005
3.550000e-001,4.531860e-005
3.560000e-001,4.989624e-005
3.570000e-001,5.096436e-005
3.580000e-001,5.081177e-005
3.590000e-001,5.340576e-005
3.600000e-001,5.355835e-005
3.610000e-001,5.142212e-005
3.620000e-001,4.730225e-005
3.630000e-001,4.425049e-005
3.640000e-001,4.882813e-005
3.650000e-001,4.684448e-005
3.660000e-001,4.302979e-005
3.670000e-001,4.272461e-005
3.680000e-001,3.906250e-005
3.690000e-001,3.524780e-005
3.700000e-001,3.540039e-005
3.710000e-001,3.372192e-005
3.720000e-001,4.043579e-005
3.730000e-001,4.379272e-005
3.740000e-001,4.516602e-005
3.750000e-001,4.623413e-005
3.760000e-001,4.791260e-005
3.770000e-001,4.806519e-005
3.780000e-001,5.187988e-005
3.790000e-001,5.172729e-005
3.800000e-001,4.501343e-005
3.810000e-001,4.333496e-005
3.820000e-001,4.364014e-005
3.830000e-001,3.845215e-005
3.840000e-001,3.555298e-005
3.850000e-001,3.555298e-005
3.860000e-001,3.799438e-005
3.870000e-001,3.921509e-005
3.880000e-001,3.860474e-005
3.890000e-001,4.013062e-005
3.900000e-001,3.662109e-005
3.910000e-001,4.089355e-005
3.920000e-001,4.608154e-005
3.930000e-001,4.882813e-005
3.940000e-001,4.714966e-005
3.950000e-001,4.760742e-005
3.960000e-001,5.142212e-005
3.970000e-001,5.050659e-005
3.980000e-001,4.760742e-005
3.990000e-001,4.776001e-005
4.000000e-001,4.867554e-005
4.010000e-001,5.065918e-005
4.020000e-001,5.004883e-005
4.030000e-001,4.974365e-005
4.040000e-001,4.974365e-005
4.050000e-001,4.547119e-005
4.060000e-001,3.997803e-005
4.070000e-001,3.875732e-005
4.080000e-001,4.013062e-005
4.090000e-001,3.967285e-005
4.100000e-001,4.028320e-005
4.110000e-001,3.692627e-005
4.120000e-001,3.616333e-005
4.130000e-001,3.952026e-005
4.140000e-001,3.860474e-005
4.150000e-001,4.165649e-005
4.160000e-001,4.226685e-005
4.170000e-001,4.241943e-005
4.180000e-001,4.653931e-005
4.190000e-001,4.562378e-005
4.200000e-001,4.684448e-005
4.210000e-001,4.623413e-005
4.220000e-001,4.501343e-005
4.230000e-001,4.791260e-005
4.240000e-001,4.730225e-005
4.250000e-001,4.226685e-005
4.260000e-001,4.455566e-005
4.270000e-001,4.180908e-005
4.280000e-001,4.119873e-005
4.290000e-001,4.440308e-005
4.300000e-001,4.440308e-005
4.310000e-001,4.562378e-005
4.320000e-001,4.348755e-005
4.330000e-001,4.531860e-005
4.340000e-001,4.791260e-005
4.350000e-001,4.638672e-005
4.360000e-001,4.440308e-005
4.370000e-001,4.501343e-005
4.380000e-001,4.592896e-005
4.390000e-001,4.547119e-005
4.400000e-001,4.730225e-005
4.410000e-001,4.714966e-005
4.420000e-001,4.486084e-005
4.430000e-001,4.043579e-005
4.440000e-001,4.104614e-005
4.450000e-001,3.829956e-005
4.460000e-001,3.875732e-005
4.470000e-001,3.967285e-005
4.480000e-001,3.753662e-005
4.490000e-001,4.165649e-005
4.500000e-001,4.348755e-005
4.510000e-001,4.104614e-005
4.520000e-001,4.440308e-005
4.530000e-001,4.714966e-005
4.540000e-001,4.730225e-005
4.550000e-001,4.913330e-005
4.560000e-001,4.470825e-005
4.570000e-001,4.348755e-005
4.580000e-001,4.608154e-005
4.590000e-001,4.623413e-005
4.600000e-001,4.257202e-005
4.610000e-001,4.379272e-005
4.620000e-001,4.547119e-005
4.630000e-001,4.287720e-005
4.640000e-001,4.440308e-005
4.650000e-001,4.272461e-005
4.660000e-001,4.257202e-005
4.670000e-001,4.257202e-005
4.680000e-001,4.287720e-005
